id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
126,"2018-05-07 09:52:45.935672","2018-04-07 09:04:15.675545",1,"2018-05-07 09:52:45.935717",12,7,R
128,"2018-05-07 09:52:46.040137","2018-04-07 09:04:15.698182",1,"2018-05-07 09:52:46.040182",11,7,R
129,"2018-05-07 09:52:46.145614","2018-04-07 09:04:15.707743",1,"2018-05-07 09:52:46.145660",25,7,R
130,"2018-05-07 09:52:46.249465","2018-04-07 09:07:23.149994",1,"2018-05-07 09:52:46.249510",134,7,T
131,"2018-04-09 11:08:40.833116","2018-04-09 11:08:40.832113",1,"2018-04-09 11:08:40.833146",23,6,T
132,"2018-04-09 12:09:38.039501","2018-04-09 12:09:38.038613",1,"2018-04-09 12:09:38.039518",18,6,T
133,"2018-04-09 12:10:41.379973","2018-04-09 12:10:41.379179",1,"2018-04-09 12:10:41.379985",19,6,T
134,"2018-05-07 09:52:46.360046","2018-04-10 05:59:44.281646",1,"2018-05-07 09:52:46.360091",2,2,T
135,"2018-05-07 09:52:46.462399","2018-04-10 05:59:44.291320",1,"2018-05-07 09:52:46.462444",35,2,T
136,"2018-05-07 09:52:46.565865","2018-04-10 05:59:44.301181",1,"2018-05-07 09:52:46.565898",37,2,T
137,"2018-05-07 09:52:46.669869","2018-04-10 05:59:44.314526",1,"2018-05-07 09:52:46.669911",36,2,R
138,"2018-05-07 09:52:46.774052","2018-04-10 05:59:44.327957",1,"2018-05-07 09:52:46.774096",29,2,R
139,"2018-05-07 09:52:46.876399","2018-04-10 05:59:44.337260",1,"2018-05-07 09:52:46.876444",30,2,R
140,"2018-05-07 09:52:46.979810","2018-04-10 05:59:44.346654",1,"2018-05-07 09:52:46.979855",32,2,R
141,"2018-05-07 09:52:47.083441","2018-04-10 05:59:44.356605",1,"2018-05-07 09:52:47.083486",33,2,R
142,"2018-05-07 09:52:47.186010","2018-04-10 05:59:44.369962",1,"2018-05-07 09:52:47.186055",8,2,R
143,"2018-05-07 09:52:47.289928","2018-04-10 05:59:44.380114",1,"2018-05-07 09:52:47.289978",9,2,R
144,"2018-05-07 09:52:47.392369","2018-04-10 05:59:44.393216",1,"2018-05-07 09:52:47.392391",23,2,R
145,"2018-05-07 09:52:47.497207","2018-04-10 05:59:44.406578",1,"2018-05-07 09:52:47.497255",18,2,R
146,"2018-05-07 09:52:47.600525","2018-04-10 05:59:44.416010",1,"2018-05-07 09:52:47.600551",19,2,R
147,"2018-05-07 09:52:47.702554","2018-04-10 05:59:44.429470",1,"2018-05-07 09:52:47.702599",7,2,R
148,"2018-05-07 09:52:47.804422","2018-04-10 05:59:44.439189",1,"2018-05-07 09:52:47.804487",10,2,R
149,"2018-05-07 09:52:47.908717","2018-04-10 05:59:44.452211",1,"2018-05-07 09:52:47.908762",14,2,R
150,"2018-05-07 09:52:48.011623","2018-04-10 05:59:44.461371",1,"2018-05-07 09:52:48.011681",15,2,R
151,"2018-05-07 09:52:48.115344","2018-04-10 05:59:44.474692",1,"2018-05-07 09:52:48.115388",12,2,R
153,"2018-05-07 09:52:48.219212","2018-04-10 05:59:44.497412",1,"2018-05-07 09:52:48.219256",11,2,R
154,"2018-05-07 09:52:48.325813","2018-04-10 05:59:44.506639",1,"2018-05-07 09:52:48.325859",25,2,R
155,"2018-05-07 09:52:48.454780","2018-04-10 05:59:44.523356",1,"2018-05-07 09:52:48.454826",31,2,T
156,"2018-05-02 06:01:37.678095","2018-05-02 06:01:37.676968",1,"2018-05-02 06:01:37.678112",159,2,R
157,"2018-04-10 11:40:55.300755","2018-04-10 11:40:55.299913",1,"2018-04-10 11:40:55.300768",15,6,T
158,"2018-04-10 11:43:54.586394","2018-04-10 11:43:54.585368",1,"2018-04-10 11:43:54.586428",10,6,T
159,"2018-04-10 11:46:30.682694","2018-04-10 11:46:30.681908",1,"2018-04-10 11:46:30.682705",14,6,T
161,"2018-04-10 11:50:36.372878","2018-04-10 11:50:36.372058",1,"2018-04-10 11:50:36.372891",137,6,T
162,"2018-04-10 11:53:42.831055","2018-04-10 11:53:42.830190",1,"2018-04-10 11:53:42.831067",138,6,T
163,"2018-04-10 12:03:29.403169","2018-04-10 12:03:29.402374",1,"2018-04-10 12:03:29.403181",139,6,T
164,"2018-04-10 12:09:11.342823","2018-04-10 12:09:11.341968",1,"2018-04-10 12:09:11.342836",141,6,T
165,"2018-04-10 12:13:24.551198","2018-04-10 12:13:24.550353",1,"2018-04-10 12:13:24.551210",142,6,T
166,"2018-05-07 09:52:48.817368","2018-04-11 05:56:57.289393",1,"2018-05-07 09:52:48.817413",2,2,R
167,"2018-05-07 09:52:48.943206","2018-04-11 05:56:57.298461",1,"2018-05-07 09:52:48.943251",35,2,R
168,"2018-05-07 09:52:49.047312","2018-04-11 05:56:57.307514",1,"2018-05-07 09:52:49.047361",37,2,R
